First_Party_Domain_1,First_Party_Domain_2,Distance
2gis.ae,9animetv.to,2.23606797749979
2gis.ae,9animetv.to,2.23606797749979
2gis.ae,9animetv.to,2.0
2gis.ae,about.readthedocs.com,2.23606797749979
2gis.ae,account.dyn.com,2.23606797749979
2gis.ae,actu.fr,2.23606797749979
2gis.ae,adroll.com,2.23606797749979
2gis.ae,adroll.com,2.0
2gis.ae,frame91-www.google.com,3.1622776601683795
2gis.ae,akismet.com,2.0
2gis.ae,aniwave.to,2.6457513110645907
2gis.ae,aniwave.to,2.449489742783178
2gis.ae,anydesk.com,1.7320508075688772
2gis.ae,anydesk.com,1.7320508075688772
2gis.ae,anydesk.com,1.4142135623730951
2gis.ae,apache.org,3.0
2gis.ae,api.whatsapp.com,2.8284271247461903
2gis.ae,apnews.com,3.3166247903554
2gis.ae,apnews.com,3.3166247903554
2gis.ae,apnews.com,3.3166247903554
2gis.ae,apnews.com,3.3166247903554
2gis.ae,apnews.com,3.3166247903554
2gis.ae,apnews.com,3.3166247903554
2gis.ae,apnews.com,3.3166247903554
2gis.ae,apnews.com,3.3166247903554
2gis.ae,apnews.com,3.3166247903554
2gis.ae,apnews.com,3.1622776601683795
2gis.ae,archive.org,2.8284271247461903
2gis.ae,archiveofourown.org,3.1622776601683795
2gis.ae,asuratoon.com,2.6457513110645907
2gis.ae,asuratoon.com,2.6457513110645907
2gis.ae,asuratoon.com,2.6457513110645907
2gis.ae,asuratoon.com,2.449489742783178
2gis.ae,aternos.org,2.6457513110645907
2gis.ae,azure.microsoft.com,2.23606797749979
2gis.ae,azure.microsoft.com,2.0
2gis.ae,bato.to,2.0
2gis.ae,bato.to,1.7320508075688772
2gis.ae,bbs.ruliweb.com,3.7416573867739413
2gis.ae,bbs.ruliweb.com,3.7416573867739413
2gis.ae,bbs.ruliweb.com,3.7416573867739413
2gis.ae,bbs.ruliweb.com,3.7416573867739413
2gis.ae,bbs.ruliweb.com,3.7416573867739413
2gis.ae,bbs.ruliweb.com,3.7416573867739413
2gis.ae,bbs.ruliweb.com,3.7416573867739413
2gis.ae,bbs.ruliweb.com,3.7416573867739413
2gis.ae,bbs.ruliweb.com,3.7416573867739413
2gis.ae,bbs.ruliweb.com,3.605551275463989
2gis.ae,beget.com,1.4142135623730951
2gis.ae,betnacional.com,1.7320508075688772
2gis.ae,bidmachine.io,1.7320508075688772
2gis.ae,bigo.sg,2.0
2gis.ae,bitly.com,1.7320508075688772
2gis.ae,brainly.co.id,1.4142135623730951
2gis.ae,bumble.com,1.7320508075688772
2gis.ae,bumble.com,1.4142135623730951
2gis.ae,byjus.com,2.6457513110645907
2gis.ae,byjus.com,2.449489742783178
2gis.ae,cardgames.io,2.8284271247461903
2gis.ae,cdiscount.com,3.4641016151377544
2gis.ae,cdiscount.com,3.4641016151377544
2gis.ae,cdiscount.com,3.3166247903554
2gis.ae,character.ai,3.1622776601683795
2gis.ae,chartbeat.com,2.6457513110645907
2gis.ae,chartbeat.com,2.6457513110645907
2gis.ae,chartbeat.com,2.6457513110645907
2gis.ae,chartbeat.com,2.449489742783178
2gis.ae,chicago.craigslist.org,2.449489742783178
2gis.ae,cloudflare.net,1.7320508075688772
2gis.ae,cloudflare.net,1.7320508075688772
